iter	Passed	Remaining
924	2028	164
925	2030	162
926	2032	160
927	2034	157
928	2036	155
929	2038	153
930	2040	151
931	2042	148
932	2043	146
933	2046	144
934	2048	142
935	2050	140
936	2052	137
937	2054	135
938	2056	133
939	2058	131
940	2060	129
941	2062	126
942	2064	124
943	2066	122
944	2068	120
945	2070	118
946	2072	115
947	2074	113
948	2076	111
949	2079	109
950	2081	107
951	2083	105
952	2085	102
953	2087	100
954	2089	98
955	2091	96
956	2093	94
957	2095	91
958	2097	89
959	2099	87
960	2101	85
961	2103	83
962	2105	80
963	2107	78
964	2110	76
965	2112	74
966	2113	72
967	2115	69
968	2117	67
969	2119	65
970	2122	63
971	2124	61
972	2126	59
973	2128	56
974	2130	54
975	2132	52
976	2134	50
977	2135	48
978	2138	45
979	2140	43
980	2142	41
981	2144	39
982	2146	37
983	2148	34
984	2150	32
985	2151	30
986	2154	28
987	2156	26
988	2158	24
989	2160	21
990	2162	19
991	2164	17
992	2166	15
993	2168	13
994	2170	10
995	2172	8
996	2174	6
997	2176	4
998	2178	2
999	2179	0
